Issue Type,Summary,Description
Task,J1 - Documentation technique et cadrage (README.md),Rediger le README complet du projet Click Fast: architecture SPA regles metier formules et schema LocalStorage
Task,J1 - Configuration du depot Git et arborescence,Initialiser le depot Git avec structure index.html dossiers css js assets et premier commit
Task,J2 - Integration des 5 vues SPA en HTML et CSS,Integrer les conteneurs view-home view-config view-game view-results et view-history avec bascule d affichage
Task,J2 - Conception de l arene 500x500 et dimensionnement cible,Creer l arene 500x500 px et la logique de placement aleatoire strict de la cible
Task,J2 - Boucle de jeu Classique 10s et compteur de score,Implementer le decompte deterministe avec performance.now incrementation du score et translation cible
Task,J3 - Validation stricte du formulaire de configuration,Valider le pseudo entre 2 et 20 caracteres avec trim et textContent selection du mode duree et difficulte
Task,J3 - Implementation du Mode Precision et calcul P(H M),Detecter les clics rates dans l arene et calculer le taux officiel de precision arrondi a une decimale
Task,J3 - Machine a etats et verrouillage de session,Bloquer les acces aux autres vues durant la partie pour preserver l integrite temporelle
Task,J4 - Persistance LocalStorage et Records composites,Sauvegarder clickFast.settings et gerer clickFast.records partitionne par mode_diff_dur
Task,J4 - Historique FIFO circulaire limite a 20 sessions,Enregistrer les parties dans clickFast.history avec eviction de la plus ancienne au-dela de 20
Task,J4 - Filtres tris et purge securisee de l historique,Permettre le tri chronologique le filtrage par mode et la suppression controlee des donnees
Task,J4 - Extension Mode Defi avec rearmement 1s,Implementer le deplacement automatique de la cible a 1.0 seconde sans alteration du score
Task,J5 - Audit accessibilite WCAG et navigation clavier,Verifier contrastes ratios focus visible navigation au clavier et conformite balises
Task,J5 - Tests de compatibilite responsive 360px,Adapter l arene et les composants d interface jusqu a une largeur d ecran mobile de 360px
Task,J5 - Recette fonctionnelle finale et deploie GitHub Pages,Executer les tests de controle deployer l application sur GitHub Pages et livrer le depot
